image,mean_T,std_T,hotspot_ratio,gradient_mean
FLIR0013_jpg.rf.0119080546aa760cfdfc84d2738c0370.jpg,134.5926971024259,11.243720120710147,0.04238965633423181,2.929108406334232
FLIR0013_jpg.rf.0b1598ae9baf8a94b6d21204603c6277.jpg,134.5137762569722,11.503468935760866,0.046471379405830925,3.4055243482732704
FLIR0013_jpg.rf.0fb2117eb0c212e3b4b7d441acb2dad3.jpg,134.5924732880678,11.356561412420083,0.04646560345281331,3.1574609189957368
FLIR0013_jpg.rf.272e2cf2aaed95ac8a10d9cb76aaff4f.jpg,134.56824210526315,11.341742921119025,0.046178947368421056,3.1510526315789473
FLIR0013_jpg.rf.285e8dfc6b2171049ac2f9cedee470cf.jpg,134.4580100119002,11.343126287225072,0.03991974744047443,2.882787989653714
FLIR0013_jpg.rf.3bd3f76f493d759c67ee1a9fa90db7bb.jpg,134.53960747221566,11.253067147976738,0.04019862851737999,2.6754453377473
FLIR0013_jpg.rf.665592ee6398f2ffb1b933a948e137d2.jpg,134.58774031322392,11.315767149957248,0.0431326350802859,2.852871879145465
FLIR0013_jpg.rf.68ba86571cf508f73a3d48d66f74a360.jpg,134.56312013282206,11.226612181894176,0.04039016484168083,2.7033146222872277
FLIR0013_jpg.rf.6b9cf165d7b9edf79c46cce348afe334.jpg,134.50607115731745,11.331076024880494,0.040747280062339096,2.6922894822501258
FLIR0013_jpg.rf.6ccb9e8aa336f745a3dbb56ae5e980ae.jpg,134.5236456505019,11.354104983643122,0.042321572958368664,2.8533141380874434
FLIR0013_jpg.rf.75343799c885195b5c55f2137cc6774b.jpg,134.6028043286033,11.350023559013817,0.04535980462335256,3.154564402711693
FLIR0013_jpg.rf.7a54d2e9727054b17c0cdcea8331f30b.jpg,134.5046494169461,11.448589327562146,0.04349131675091337,3.131785195936139
FLIR0013_jpg.rf.7f84ce8063117a1d71e438639729a487.jpg,134.48823552595277,11.306198480519125,0.04088992235841248,2.8608658810546643
FLIR0013_jpg.rf.82a52e2cd8dc94d03fda6325cbe58f33.jpg,134.49004723177666,11.51326334356765,0.04571755196999629,3.4311027767471245
FLIR0013_jpg.rf.8ff687d58ce66ad75afc3fe0bb6d71ab.jpg,134.53602360426723,11.386084474300038,0.04436839517075961,3.1334162961773533
FLIR0013_jpg.rf.9048b792b4e96445e1f92b82d502ac05.jpg,134.4946315996848,11.36130737642607,0.04205082742316785,2.912539401103231
FLIR0013_jpg.rf.94a62a79dcfe34e17b378e9a18fe9d24.jpg,134.5289046703161,11.259933741139276,0.03997632785915076,2.653212999950683
FLIR0013_jpg.rf.95aedd9da30048a7684322665c108a9c.jpg,134.47222742277185,11.424214479959732,0.04357294181406119,3.0910577917918904
FLIR0013_jpg.rf.a26655cfe9b69db7f15667d526bd4418.jpg,134.5902005627984,11.361150159175736,0.04478146770232813,3.1630956019518774
FLIR0013_jpg.rf.aab47e73a5b53133f68fec69553c448f.jpg,134.50771229734917,11.322016823897883,0.04044649624474609,2.8496126625390046
FLIR0013_jpg.rf.ab2d7c036181b037c4db41aa32aaba8e.jpg,134.5407234907541,11.32443619896482,0.04052613921177794,2.846805865287837
FLIR0013_jpg.rf.aeca816d10be15ebf04332da3ee52a60.jpg,134.53605273592387,11.390693884870265,0.043249405233941315,3.0840404440919906
FLIR0013_jpg.rf.b018d84b31216014c07a6411da5d3d45.jpg,134.4824222018764,11.325584690899563,0.0407671027890172,2.8759857054254407
